Molecular/Biological/Cellular Ontology Terms: 

GO:0033189      response to vitamin A                                                                                                    ['Rbp1', 'Lipa']                        
GO:0007586      digestion                                                                                                                ['Cck']                                 
GO:0002021      response to dietary excess                                                                                               ['Lipa']                                
GO:0021571      rhombomere 5 development                                                                                                 ['Mafb']                                
GO:0019901      protein kinase binding                                                                                                   ['Cdc25a', 'Sipa1l1', 'Nrp1', 'Atp2b4', 'Aatf', 'Frmd5']
GO:0018105      peptidyl-serine phosphorylation                                                                                          ['Rps6ka2']                             
GO:0007155      cell adhesion                                                                                                            ['Itga6', 'Fblim1', 'Aatf']             
R-MMU-446728    Cell junction organization                                                                                               ['Itga6', 'Fblim1']                     
GO:0048675      axon extension                                                                                                           ['Nrp1']                                
GO:2000987      positive regulation of behavioral fear response                                                                          ['Cck']                                 
GO:0002035      brain renin-angiotensin system                                                                                           ['Rps6ka2']                             
GO:0032102      negative regulation of response to external stimulus                                                                     ['Cartpt']                              
GO:0000902      cell morphogenesis                                                                                                       ['Lipa']                                
GO:0043395      heparan sulfate proteoglycan binding                                                                                     ['Slit2']                               
GO:0005615      extracellular space                                                                                                      ['Cartpt', 'Cck', 'Slit2']              
GO:0001641      group II metabotropic glutamate receptor activity                                                                        ['Grm2']                                
GO:0003180      aortic valve morphogenesis                                                                                               ['Slit2']                               
GO:0061298      retina vasculature development in camera-type eye                                                                        ['Nrp1']                                
R-MMU-372790    Signaling by GPCR                                                                                                        ['Cck', 'Grm2', 'Dgkb']                 
GO:0055123      digestive system development                                                                                             ['Pitx2']                               
GO:0001933      negative regulation of protein phosphorylation                                                                           ['Slit2']                               
GO:0007179      transforming growth factor beta receptor signaling pathway                                                               ['Onecut2']                             
R-MMU-418360    Platelet calcium homeostasis                                                                                             ['Atp2b4']                              
GO:0040016      embryonic cleavage                                                                                                       ['Aatf']                                
GO:0036464      cytoplasmic ribonucleoprotein granule                                                                                    ['Shb']                                 
GO:0005042      netrin receptor activity                                                                                                 ['Unc5b']                               
GO:1902548      negative regulation of cellular response to vascular endothelial growth factor stimulus                                  ['Atp2b4']                              
R-MMU-3000171   Non-integrin membrane-ECM interactions                                                                                   ['Itga6']                               
GO:0001650      fibrillar center                                                                                                         ['Lipa', 'Fblim1']                      
R-MMU-2187338   Visual phototransduction                                                                                                 ['Rbp1']                                
GO:0051607      defense response to virus                                                                                                ['Ifit2']                               
GO:0042910      xenobiotic transmembrane transporter activity                                                                            ['Rbp1']                                
GO:0098981      cholinergic synapse                                                                                                      ['Rph3a']                               
GO:0043410      positive regulation of MAPK cascade                                                                                      ['Cartpt']                              
GO:0006631      fatty acid metabolic process                                                                                             ['Lipa']                                
GO:0006941      striated muscle contraction                                                                                              ['Ryr3']                                
GO:0012501      programmed cell death                                                                                                    ['Lipa']                                
GO:0008289      lipid binding                                                                                                            ['Rbp1', 'Dgkb', 'Rph3a']               
GO:0045995      regulation of embryonic development                                                                                      ['Mbip']                                
GO:0045087      innate immune response                                                                                                   ['Ifit2']                               
GO:0032929      negative regulation of superoxide anion generation                                                                       ['Aatf']                                
GO:0004725      protein tyrosine phosphatase activity                                                                                    ['Cdc25a']                              
GO:0003924      GTPase activity                                                                                                          ['Sipa1l1', 'Stxbp5']                   
GO:0097443      sorting endosome                                                                                                         ['Nrp1']                                
GO:0006357      regulation of transcription by RNA polymerase II                                                                         ['Sall3', 'Foxb1', 'Pitx2', 'Onecut2', 'Mbip', 'Mafb', 'Atp2b4', 'Aatf', 'Cdk2ap1']
GO:0010659      cardiac muscle cell apoptotic process                                                                                    ['Rps6ka2']                             
GO:0099509      regulation of presynaptic cytosolic calcium ion concentration                                                            ['Rbp1', 'Calb1']                       
GO:0048871      multicellular organismal-level homeostasis                                                                               ['Lipa']                                
GO:2000481      positive regulation of cAMP-dependent protein kinase activity                                                            ['Atp2b4']                              
R-MMU-2672351   Stimuli-sensing channels                                                                                                 ['Ryr3']                                
GO:0045202      synapse                                                                                                                  ['Tanc1', 'Grm2', 'Dgkb', 'Calb1', 'Sipa1l1', 'Rph3a']
R-MMU-69601     Ubiquitin Mediated Degradation of Phosphorylated Cdc25A                                                                  ['Cdc25a']                              
GO:0035249      synaptic transmission, glutamatergic                                                                                     ['Grm2']                                
GO:0097449      astrocyte projection                                                                                                     ['Grm2']                                
GO:0009404      toxin metabolic process                                                                                                  ['As3mt']                               
GO:0006468      protein phosphorylation                                                                                                  ['Rps6ka2']                             
GO:0061379      inferior colliculus development                                                                                          ['Foxb1']                               
GO:0006629      lipid metabolic process                                                                                                  ['Dgkb', 'Lipa']                        
GO:0006811      monoatomic ion transport                                                                                                 ['Ryr3', 'Kcnk9', 'Atp2b4']             
GO:0045893      positive regulation of DNA-templated transcription                                                                       ['Pitx2', 'Mafb', 'Aatf']               
GO:0016529      sarcoplasmic reticulum                                                                                                   ['Ryr3']                                
GO:0031514      motile cilium                                                                                                            ['Atp2b4']                              
GO:0030837      negative regulation of actin filament polymerization                                                                     ['Slit2']                               
GO:0097228      sperm principal piece                                                                                                    ['Atp2b4']                              
GO:0030791      arsenite methyltransferase activity                                                                                      ['As3mt']                               
GO:0098674      extrinsic component of neuronal dense core vesicle membrane                                                              ['Stxbp5']                              
GO:0060271      cilium assembly                                                                                                          ['Onecut2']                             
R-MMU-428890    Role of ABL in ROBO-SLIT signaling                                                                                       ['Slit2']                               
R-MMU-69242     S Phase                                                                                                                  ['Cdc25a']                              
GO:0072686      mitotic spindle                                                                                                          ['Mbip']                                
R-MMU-8985586   SLIT2:ROBO1 increases RHOA activity                                                                                      ['Slit2']                               
R-MMU-69273     Cyclin A/B1/B2 associated events during G2/M transition                                                                  ['Cdc25a']                              
R-MMU-174824    Plasma lipoprotein assembly, remodeling, and clearance                                                                   ['Lipa']                                
GO:0051302      regulation of cell division                                                                                              ['Mbip']                                
GO:0070885      negative regulation of calcineurin-NFAT signaling cascade                                                                ['Atp2b4']                              
GO:0033564      anterior/posterior axon guidance                                                                                         ['Unc5b']                               
GO:0008430      selenium binding                                                                                                         ['Rph3a']                               
GO:0002689      negative regulation of leukocyte chemotaxis                                                                              ['Slit2']                               
GO:0007379      segment specification                                                                                                    ['Mafb']                                
GO:0098609      cell-cell adhesion                                                                                                       ['Itga6', 'Fblim1', 'Slit2']            
GO:0032489      regulation of Cdc42 protein signal transduction                                                                          ['Nrp1']                                
GO:0051491      positive regulation of filopodium assembly                                                                               ['Nrp1']                                
GO:0007507      heart development                                                                                                        ['Pitx2', 'Nrp1', 'Nrp2', 'Rps6ka2']    
GO:0098978      glutamatergic synapse                                                                                                    ['Tanc1', 'Rbp1', 'Grm2', 'Dgkb', 'Calb1', 'Sipa1l1', 'Nrp1', 'Atp2b4', 'Nrp2']
R-MMU-210500    Glutamate Neurotransmitter Release Cycle                                                                                 ['Rbp1']                                
GO:0010467      gene expression                                                                                                          ['Grm2', 'Lipa', 'Mafb']                
GO:0042274      ribosomal small subunit biogenesis                                                                                       ['Aatf']                                
GO:0004712      protein serine/threonine/tyrosine kinase activity                                                                        ['Rps6ka2']                             
GO:0005516      calmodulin binding                                                                                                       ['Ryr3', 'Atp2b4']                      
GO:0045671      negative regulation of osteoclast differentiation                                                                        ['Cartpt', 'Mafb']                      
GO:0031016      pancreas development                                                                                                     ['Onecut2']                             
GO:0090575      RNA polymerase II transcription regulator complex                                                                        ['Mafb']                                
GO:0097475      motor neuron migration                                                                                                   ['Nrp1']                                
R-MMU-1500931   Cell-Cell communication                                                                                                  ['Itga6', 'Fblim1']                     
R-MMU-9013149   RAC1 GTPase cycle                                                                                                        ['Rbp1']                                
GO:0070588      calcium ion transmembrane transport                                                                                      ['Rbp1', 'Ryr3', 'Atp2b4']              
GO:2001237      negative regulation of extrinsic apoptotic signaling pathway                                                             ['Itga6', 'Nrp1']                       
R-MMU-392499    Metabolism of proteins                                                                                                   ['Cdc25a']                              
GO:1903078      positive regulation of protein localization to plasma membrane                                                           ['Atp2b4']                              
GO:0008134      transcription factor binding                                                                                             ['Pitx2']                               
GO:0048010      vascular endothelial growth factor receptor signaling pathway                                                            ['Nrp1']                                
GO:0009617      response to bacterium                                                                                                    ['Dgkb']                                
GO:0033504      floor plate development                                                                                                  ['Foxb1']                               
GO:0005737      cytoplasm                                                                                                                ['Pitx2', 'Rbp1', 'Ifit2', 'Dgkb', 'Calb1', 'Rprm', 'Shb', 'Fblim1', 'Mbip', 'As3mt', 'Slit2', 'Cdc25a', 'Sipa1l1', 'Nrp1', 'Rps6ka2', 'Aatf', 'Cdk2ap1', 'Stxbp5']
GO:0030336      negative regulation of cell migration                                                                                    ['Slit2']                               
GO:0035502      metanephric part of ureteric bud development                                                                             ['Calb1']                               
GO:0060971      embryonic heart tube left/right pattern formation                                                                        ['Pitx2']                               
GO:0005576      extracellular region                                                                                                     ['Cartpt', 'Cck', 'Slit2']              
GO:0042985      negative regulation of amyloid precursor protein biosynthetic process                                                    ['Aatf']                                
GO:0005102      signaling receptor binding                                                                                               ['Nxph4', 'Slit2']                      
GO:0001836      release of cytochrome c from mitochondria                                                                                ['Cck']                                 
GO:0097110      scaffold protein binding                                                                                                 ['Grm2', 'Atp2b4']                      
GO:0019898      extrinsic component of membrane                                                                                          ['Rph3a']                               
GO:1902305      regulation of sodium ion transmembrane transport                                                                         ['Atp2b4']                              
GO:1905040      otic placode development                                                                                                 ['Nrp1']                                
GO:0032420      stereocilium                                                                                                             ['Calb1']                               
GO:0010593      negative regulation of lamellipodium assembly                                                                            ['Slit2']                               
GO:0048523      negative regulation of cellular process                                                                                  ['Slit2']                               
GO:0006638      neutral lipid metabolic process                                                                                          ['Lipa']                                
GO:0030421      defecation                                                                                                               ['Lipa']                                
GO:0070100      negative regulation of chemokine-mediated signaling pathway                                                              ['Slit2']                               
R-MMU-5578775   Ion homeostasis                                                                                                          ['Ryr3', 'Atp2b4']                      
R-MMU-1430728   Metabolism                                                                                                               ['Rbp1', 'As3mt']                       
GO:0033077      T cell differentiation in thymus                                                                                         ['Mafb']                                
GO:0010811      positive regulation of cell-substrate adhesion                                                                           ['Itga6']                               
R-MMU-69481     G2/M Checkpoints                                                                                                         ['Cdc25a']                              
GO:0005892      acetylcholine-gated channel complex                                                                                      ['Stxbp5']                              
GO:0008285      negative regulation of cell population proliferation                                                                     ['Slit2', 'Rps6ka2']                    
GO:0032099      negative regulation of appetite                                                                                          ['Cartpt', 'Cck']                       
GO:0071310      cellular response to organic substance                                                                                   ['Calb1']                               
GO:0005201      extracellular matrix structural constituent                                                                              ['Slit2']                               
GO:0042254      ribosome biogenesis                                                                                                      ['Aatf']                                
GO:0043542      endothelial cell migration                                                                                               ['Nrp1']                                
GO:0043388      positive regulation of DNA binding                                                                                       ['Pitx2']                               
R-MMU-9716542   Signaling by Rho GTPases, Miro GTPases and RHOBTB3                                                                       ['Rbp1']                                
GO:0008360      regulation of cell shape                                                                                                 ['Fblim1']                              
GO:0043236      laminin binding                                                                                                          ['Itga6']                               
GO:0031625      ubiquitin protein ligase binding                                                                                         ['Sipa1l1']                             
GO:0061030      epithelial cell differentiation involved in mammary gland alveolus development                                           ['Foxb1']                               
GO:0048013      ephrin receptor signaling pathway                                                                                        ['Sipa1l1']                             
GO:1900271      regulation of long-term synaptic potentiation                                                                            ['Calb1']                               
GO:0001764      neuron migration                                                                                                         ['Pitx2', 'Cck', 'Nrp1', 'Nrp2']        
GO:0001227      DNA-binding transcription repressor activity, RNA polymerase II-specific                                                 ['Pitx2']                               
GO:0035993      deltoid tuberosity development                                                                                           ['Pitx2']                               
GO:0043194      axon initial segment                                                                                                     ['Cck']                                 
GO:0007160      cell-matrix adhesion                                                                                                     ['Itga6']                               
GO:0008585      female gonad development                                                                                                 ['Csmd1']                               
GO:0008066      glutamate receptor activity                                                                                              ['Grm2']                                
GO:0070161      anchoring junction                                                                                                       ['Fblim1', 'Frmd5']                     
GO:0042626      ATPase-coupled transmembrane transporter activity                                                                        ['Rbp1']                                
GO:0070341      fat cell proliferation                                                                                                   ['Lipa']                                
GO:0060412      ventricular septum morphogenesis                                                                                         ['Pitx2', 'Slit2']                      
GO:0045121      membrane raft                                                                                                            ['Unc5b', 'Atp2b4']                     
R-MMU-69202     Cyclin E associated events during G1/S transition                                                                        ['Cdc25a']                              
GO:1903999      negative regulation of eating behavior                                                                                   ['Cck']                                 
GO:0099524      postsynaptic cytosol                                                                                                     ['Calb1']                               
GO:0035284      brain segmentation                                                                                                       ['Mafb']                                
R-MMU-446107    Type I hemidesmosome assembly                                                                                            ['Itga6']                               
GO:0032040      small-subunit processome                                                                                                 ['Aatf']                                
GO:0005501      retinoid binding                                                                                                         ['Rbp1']                                
GO:0003682      chromatin binding                                                                                                        ['Pitx2']                               
GO:0042475      odontogenesis of dentin-containing tooth                                                                                 ['Itga6']                               
GO:0071838      cell proliferation in bone marrow                                                                                        ['Lipa']                                
R-MMU-373760    L1CAM interactions                                                                                                       ['Nrp1']                                
GO:0008584      male gonad development                                                                                                   ['Csmd1']                               
GO:0010842      retina layer formation                                                                                                   ['Calb1']                               
GO:0043087      regulation of GTPase activity                                                                                            ['Rbp1', 'Sipa1l1']                     
GO:0035457      cellular response to interferon-alpha                                                                                    ['Ifit2']                               
GO:0003148      outflow tract septum morphogenesis                                                                                       ['Nrp1', 'Nrp2']                        
GO:0061519      macrophage homeostasis                                                                                                   ['Lipa']                                
GO:0051056      regulation of small GTPase mediated signal transduction                                                                  ['Sipa1l1']                             
GO:0005886      plasma membrane                                                                                                          ['Unc5b', 'Rbp1', 'Grm2', 'Dgkb', 'Shb', 'Itga6', 'Kcnk9', 'Slit2', 'Sipa1l1', 'Rph3a', 'Nrp1', 'Atp2b4', 'Nrp2', 'Stxbp5']
GO:0038007      netrin-activated signaling pathway                                                                                       ['Unc5b']                               
GO:0140014      mitotic nuclear division                                                                                                 ['Cdc25a']                              
GO:1902378      VEGF-activated neuropilin signaling pathway involved in axon guidance                                                    ['Nrp1']                                
GO:0045835      negative regulation of meiotic nuclear division                                                                          ['Rps6ka2']                             
GO:0031490      chromatin DNA binding                                                                                                    ['Pitx2']                               
GO:0002526      acute inflammatory response                                                                                              ['Lipa']                                
GO:0033344      cholesterol efflux                                                                                                       ['Lipa']                                
GO:0033563      dorsal/ventral axon guidance                                                                                             ['Slit2']                               
GO:0031063      regulation of histone deacetylation                                                                                      ['Mbip']                                
GO:0022857      transmembrane transporter activity                                                                                       ['Rbp1']                                
GO:0042220      response to cocaine                                                                                                      ['Grm2']                                
GO:0002040      sprouting angiogenesis                                                                                                   ['Nrp1']                                
GO:0000785      chromatin                                                                                                                ['Cdk2ap1']                             
GO:0060980      cell migration involved in coronary vasculogenesis                                                                       ['Nrp1']                                
GO:0001556      oocyte maturation                                                                                                        ['Rps6ka2']                             
GO:0030324      lung development                                                                                                         ['Pitx2', 'Lipa']                       
GO:0000278      mitotic cell cycle                                                                                                       ['Lipa']                                
GO:1900026      positive regulation of substrate adhesion-dependent cell spreading                                                       ['Nrp1']                                
GO:0010595      positive regulation of endothelial cell migration                                                                        ['Nrp1']                                
GO:0061381      cell migration in diencephalon                                                                                           ['Foxb1']                               
GO:0001755      neural crest cell migration                                                                                              ['Nrp1']                                
GO:0001655      urogenital system development                                                                                            ['Foxb1']                               
GO:0097384      cellular lipid biosynthetic process                                                                                      ['Lipa']                                
GO:0099504      synaptic vesicle cycle                                                                                                   ['Stxbp5']                              
GO:0140013      meiotic nuclear division                                                                                                 ['Cdc25a']                              
GO:1903375      facioacoustic ganglion development                                                                                       ['Nrp1', 'Nrp2']                        
GO:0009267      cellular response to starvation                                                                                          ['Cartpt']                              
GO:0014059      regulation of dopamine secretion                                                                                         ['Grm2']                                
GO:0030852      regulation of granulocyte differentiation                                                                                ['Rbp1']                                
GO:0051087      protein-folding chaperone binding                                                                                        ['Cdc25a']                              
GO:0061299      retina vasculature morphogenesis in camera-type eye                                                                      ['Nrp1']                                
GO:0048008      platelet-derived growth factor receptor signaling pathway                                                                ['Nrp1']                                
GO:0048156      tau protein binding                                                                                                      ['Aatf']                                
GO:0051896      regulation of protein kinase B signaling                                                                                 ['Grm2']                                
R-MMU-597592    Post-translational protein modification                                                                                  ['Cdc25a']                              
GO:0036484      trunk neural crest cell migration                                                                                        ['Nrp2']                                
GO:0046834      lipid phosphorylation                                                                                                    ['Dgkb']                                
GO:0060292      long-term synaptic depression                                                                                            ['Grm2']                                
GO:0030054      cell junction                                                                                                            ['Fblim1']                              
GO:0070679      inositol 1,4,5 trisphosphate binding                                                                                     ['Rph3a']                               
GO:0007519      skeletal muscle tissue development                                                                                       ['Pitx2']                               
GO:0005388      P-type calcium transporter activity                                                                                      ['Atp2b4']                              
GO:0005184      neuropeptide hormone activity                                                                                            ['Cartpt', 'Cck']                       
GO:0007218      neuropeptide signaling pathway                                                                                           ['Cartpt']                              
GO:0030056      hemidesmosome                                                                                                            ['Itga6']                               
GO:0017158      regulation of calcium ion-dependent exocytosis                                                                           ['Rph3a']                               
GO:0005769      early endosome                                                                                                           ['Nrp1']                                
GO:0032991      protein-containing complex                                                                                               ['Sipa1l1', 'Rph3a', 'Atp2b4']          
GO:0015278      calcium-release channel activity                                                                                         ['Ryr3']                                
GO:0060837      blood vessel endothelial cell differentiation                                                                            ['Lipa']                                
GO:0016049      cell growth                                                                                                              ['Slit2']                               
GO:0048485      sympathetic nervous system development                                                                                   ['Nrp1']                                
GO:0036487      nitric-oxide synthase inhibitor activity                                                                                 ['Atp2b4']                              
GO:0045931      positive regulation of mitotic cell cycle                                                                                ['Shb', 'Cdc25a']                       
GO:0051726      regulation of cell cycle                                                                                                 ['Rprm', 'Mbip']                        
GO:0034676      integrin alpha6-beta4 complex                                                                                            ['Itga6']                               
GO:2001234      negative regulation of apoptotic signaling pathway                                                                       ['Aatf']                                
GO:0048536      spleen development                                                                                                       ['Pitx2', 'Lipa']                       
GO:0035886      vascular associated smooth muscle cell differentiation                                                                   ['Pitx2']                               
GO:1990961      xenobiotic detoxification by transmembrane export across the plasma membrane                                             ['Rbp1']                                
GO:0007411      axon guidance                                                                                                            ['Unc5b', 'Slit2', 'Nrp1', 'Nrp2']      
GO:0048763      calcium-induced calcium release activity                                                                                 ['Ryr3']                                
GO:0048812      neuron projection morphogenesis                                                                                          ['Slit2']                               
GO:0007368      determination of left/right symmetry                                                                                     ['Pitx2']                               
GO:0006006      glucose metabolic process                                                                                                ['Lipa']                                
GO:0032812      positive regulation of epinephrine secretion                                                                             ['Cartpt']                              
GO:2001023      regulation of response to drug                                                                                           ['Grm2']                                
GO:2000310      regulation of NMDA receptor activity                                                                                     ['Rph3a']                               
GO:0010389      regulation of G2/M transition of mitotic cell cycle                                                                      ['Cdc25a']                              
GO:0001725      stress fiber                                                                                                             ['Fblim1']                              
GO:0050929      induction of negative chemotaxis                                                                                         ['Slit2']                               
GO:0046473      phosphatidic acid metabolic process                                                                                      ['Dgkb']                                
GO:0098888      extrinsic component of presynaptic membrane                                                                              ['Stxbp5']                              
GO:0090050      positive regulation of cell migration involved in sprouting angiogenesis                                                 ['Nrp1']                                
GO:0019838      growth factor binding                                                                                                    ['Nrp1']                                
GO:0061629      RNA polymerase II-specific DNA-binding transcription factor binding                                                      ['Pitx2']                               
GO:0046339      diacylglycerol metabolic process                                                                                         ['Dgkb']                                
GO:1901166      neural crest cell migration involved in autonomic nervous system development                                             ['Nrp1', 'Nrp2']                        
GO:2001240      negative regulation of extrinsic apoptotic signaling pathway in absence of ligand                                        ['Unc5b']                               
GO:0098974      postsynaptic actin cytoskeleton organization                                                                             ['Sipa1l1']                             
GO:0055085      transmembrane transport                                                                                                  ['Rbp1', 'Ryr3']                        
GO:0035385      Roundabout signaling pathway                                                                                             ['Slit2']                               
GO:0048787      presynaptic active zone membrane                                                                                         ['Atp2b4']                              
GO:0098685      Schaffer collateral - CA1 synapse                                                                                        ['Rbp1', 'Dgkb', 'Stxbp5']              
GO:0021767      mammillary body development                                                                                              ['Foxb1']                               
GO:0001525      angiogenesis                                                                                                             ['Unc5b', 'Shb', 'Nrp1', 'Nrp2']        
GO:0006470      protein dephosphorylation                                                                                                ['Cdc25a']                              
GO:0046847      filopodium assembly                                                                                                      ['Itga6']                               
R-MMU-446353    Cell-extracellular matrix interactions                                                                                   ['Fblim1']                              
GO:0005887      integral component of plasma membrane                                                                                    ['Grm2', 'Itga6', 'Kcnk9', 'Atp2b4']    
GO:0006595      polyamine metabolic process                                                                                              ['Amd2']                                
GO:0090461      intracellular glutamate homeostasis                                                                                      ['Grm2']                                
GO:0042593      glucose homeostasis                                                                                                      ['Csmd1']                               
GO:0016082      synaptic vesicle priming                                                                                                 ['Rph3a']                               
GO:0015031      protein transport                                                                                                        ['Rph3a', 'Stxbp5']                     
GO:0042383      sarcolemma                                                                                                               ['Ryr3', 'Atp2b4']                      
GO:0015629      actin cytoskeleton                                                                                                       ['Onecut2', 'Sipa1l1']                  
GO:0048841      regulation of axon extension involved in axon guidance                                                                   ['Nrp1']                                
GO:0006469      negative regulation of protein kinase activity                                                                           ['Shb']                                 
GO:0051428      peptide hormone receptor binding                                                                                         ['Cck']                                 
GO:0046718      viral entry into host cell                                                                                               ['Nrp1']                                
GO:0014832      urinary bladder smooth muscle contraction                                                                                ['Atp2b4']                              
GO:0043235      receptor complex                                                                                                         ['Itga6']                               
GO:0098736      negative regulation of the force of heart contraction                                                                    ['Atp2b4']                              
R-MMU-196071    Metabolism of steroid hormones                                                                                           ['Rbp1']                                
GO:0005819      spindle                                                                                                                  ['Rps6ka2']                             
GO:0005249      voltage-gated potassium channel activity                                                                                 ['Kcnk9']                               
GO:0009410      response to xenobiotic stimulus                                                                                          ['Lipa']                                
GO:0061325      cell proliferation involved in outflow tract morphogenesis                                                               ['Pitx2']                               
R-MMU-112316    Neuronal System                                                                                                          ['Rbp1', 'Kcnk9']                       
GO:0062023      collagen-containing extracellular matrix                                                                                 ['Slit2']                               
GO:0099500      vesicle fusion to plasma membrane                                                                                        ['Stxbp5']                              
GO:0001678      intracellular glucose homeostasis                                                                                        ['Cartpt']                              
GO:1902946      protein localization to early endosome                                                                                   ['Nrp1']                                
GO:0051219      phosphoprotein binding                                                                                                   ['Pitx2']                               
GO:0032259      methylation                                                                                                              ['As3mt']                               
GO:0098797      plasma membrane protein complex                                                                                          ['Itga6']                               
GO:0042995      cell projection                                                                                                          ['Grm2', 'Rph3a', 'Atp2b4']             
R-MMU-422475    Axon guidance                                                                                                            ['Slit2', 'Nrp1']                       
GO:0017022      myosin binding                                                                                                           ['Stxbp5']                              
GO:0061001      regulation of dendritic spine morphogenesis                                                                              ['Sipa1l1']                             
R-MMU-181430    Norepinephrine Neurotransmitter Release Cycle                                                                            ['Rbp1']                                
GO:0030165      PDZ domain binding                                                                                                       ['Atp2b4']                              
GO:0050862      positive regulation of T cell receptor signaling pathway                                                                 ['Lipa']                                
GO:0033017      sarcoplasmic reticulum membrane                                                                                          ['Ryr3']                                
GO:0005021      vascular endothelial growth factor receptor activity                                                                     ['Nrp1', 'Nrp2']                        
R-MMU-397014    Muscle contraction                                                                                                       ['Ryr3', 'Kcnk9', 'Atp2b4']             
R-MMU-181429    Serotonin Neurotransmitter Release Cycle                                                                                 ['Rbp1']                                
GO:0046872      metal ion binding                                                                                                        ['Sall3', 'Dgkb', 'Calb1', 'Itga6', 'Fblim1', 'Rph3a', 'Nrp1', 'Atp2b4', 'Nrp2']
GO:0045786      negative regulation of cell cycle                                                                                        ['Rps6ka2']                             
GO:0031032      actomyosin structure organization                                                                                        ['Frmd5']                               
R-MMU-2022090   Assembly of collagen fibrils and other multimeric structures                                                             ['Itga6']                               
GO:0034446      substrate adhesion-dependent cell spreading                                                                              ['Nrp1']                                
GO:0006596      polyamine biosynthetic process                                                                                           ['Amd2']                                
GO:1901660      calcium ion export                                                                                                       ['Atp2b4']                              
GO:0000976      transcription cis-regulatory region binding                                                                              ['Pitx2']                               
R-MMU-69206     G1/S Transition                                                                                                          ['Cdc25a']                              
GO:0022853      active ion transmembrane transporter activity                                                                            ['Atp2b4']                              
GO:0031668      cellular response to extracellular stimulus                                                                              ['Itga6']                               
GO:0038084      vascular endothelial growth factor signaling pathway                                                                     ['Nrp1', 'Nrp2']                        
GO:0035116      embryonic hindlimb morphogenesis                                                                                         ['Pitx2']                               
R-MMU-9012999   RHO GTPase cycle                                                                                                         ['Rbp1']                                
GO:0150018      basal dendrite development                                                                                               ['Nrp1']                                
GO:0060978      angiogenesis involved in coronary vascular morphogenesis                                                                 ['Nrp1']                                
GO:0008168      methyltransferase activity                                                                                               ['As3mt']                               
GO:0017080      sodium channel regulator activity                                                                                        ['Atp2b4']                              
GO:0032922      circadian regulation of gene expression                                                                                  ['Cartpt']                              
GO:0043522      leucine zipper domain binding                                                                                            ['Aatf']                                
GO:0050796      regulation of insulin secretion                                                                                          ['Cartpt']                              
GO:0005929      cilium                                                                                                                   ['Atp2b4']                              
GO:0048538      thymus development                                                                                                       ['Mafb']                                
GO:0045647      negative regulation of erythrocyte differentiation                                                                       ['Mafb']                                
GO:0045159      myosin II binding                                                                                                        ['Stxbp5']                              
GO:0051966      regulation of synaptic transmission, glutamatergic                                                                       ['Grm2']                                
GO:0010596      negative regulation of endothelial cell migration                                                                        ['Slit2']                               
GO:0042127      regulation of cell population proliferation                                                                              ['Pitx2']                               
GO:0004672      protein kinase activity                                                                                                  ['Rps6ka2']                             
GO:0042301      phosphate ion binding                                                                                                    ['Rph3a']                               
GO:0042391      regulation of membrane potential                                                                                         ['Lipa', 'Kcnk9']                       
R-MMU-445144    Signal transduction by L1                                                                                                ['Nrp1']                                
GO:0006919      activation of cysteine-type endopeptidase activity involved in apoptotic process                                         ['Cck']                                 
R-MMU-399954    Sema3A PAK dependent Axon repulsion                                                                                      ['Nrp1']                                
GO:0030175      filopodium                                                                                                               ['Itga6']                               
GO:0035846      oviduct epithelium development                                                                                           ['Csmd1']                               
GO:0009653      anatomical structure morphogenesis                                                                                       ['Foxb1', 'Pitx2', 'Onecut2']           
GO:0035095      behavioral response to nicotine                                                                                          ['Grm2']                                
GO:2000146      negative regulation of cell motility                                                                                     ['Frmd5']                               
GO:0099151      regulation of postsynaptic density assembly                                                                              ['Sipa1l1']                             
GO:0019810      putrescine binding                                                                                                       ['Amd2']                                
GO:0001523      retinoid metabolic process                                                                                               ['Lipa']                                
GO:0072286      metanephric connecting tubule development                                                                                ['Calb1']                               
GO:0099626      voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels                    ['Rbp1']                                
GO:0061377      mammary gland lobule development                                                                                         ['Foxb1']                               
GO:0016055      Wnt signaling pathway                                                                                                    ['Pitx2']                               
GO:0016310      phosphorylation                                                                                                          ['Dgkb', 'Rps6ka2']                     
GO:0043547      positive regulation of GTPase activity                                                                                   ['Rbp1', 'Itga6']                       
GO:0005925      focal adhesion                                                                                                           ['Fblim1', 'Nrp1']                      
GO:0048514      blood vessel morphogenesis                                                                                               ['Shb']                                 
GO:0070093      negative regulation of glucagon secretion                                                                                ['Cartpt']                              
GO:0140354      lipid import into cell                                                                                                   ['Lipa']                                
GO:0014049      positive regulation of glutamate secretion                                                                               ['Cck']                                 
GO:0051901      positive regulation of mitochondrial depolarization                                                                      ['Cck']                                 
GO:0006754      ATP biosynthetic process                                                                                                 ['Lipa']                                
GO:0061374      mammillothalamic axonal tract development                                                                                ['Foxb1']                               
GO:0042100      B cell proliferation                                                                                                     ['Shb']                                 
GO:0007229      integrin-mediated signaling pathway                                                                                      ['Itga6', 'Nrp1']                       
GO:0022841      potassium ion leak channel activity                                                                                      ['Kcnk9']                               
GO:0005883      neurofilament                                                                                                            ['Nrp1']                                
GO:0051001      negative regulation of nitric-oxide synthase activity                                                                    ['Atp2b4']                              
GO:0031334      positive regulation of protein-containing complex assembly                                                               ['Cck']                                 
