Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Neurod1', 'Pax6', 'Zbtb18']           
GO:0060090      molecular adaptor activity                                                                                               ['Vim', 'Insm1']                        
GO:0030054      cell junction                                                                                                            ['Nfia']                                
GO:0031252      cell leading edge                                                                                                        ['Vim']                                 
GO:0007519      skeletal muscle tissue development                                                                                       ['Nfix', 'Zbtb18']                      
GO:0051721      protein phosphatase 2A binding                                                                                           ['Vim']                                 
GO:0032735      positive regulation of interleukin-12 production                                                                         ['Mdk']                                 
GO:0031099      regeneration                                                                                                             ['Nfix', 'Nfib']                        
GO:0043198      dendritic shaft                                                                                                          ['Lzts1']                               
GO:0007406      negative regulation of neuroblast proliferation                                                                          ['Btg2', 'Pax6']                        
GO:0060509      type I pneumocyte differentiation                                                                                        ['Nfib']                                
GO:0046983      protein dimerization activity                                                                                            ['Neurod4', 'Neurod1', 'Nhlh2']         
GO:0045931      positive regulation of mitotic cell cycle                                                                                ['Ccnd2']                               
GO:0051726      regulation of cell cycle                                                                                                 ['Insm1', 'Ccnd2']                      
GO:0005777      peroxisome                                                                                                               ['Vim']                                 
GO:0019904      protein domain specific binding                                                                                          ['Vim']                                 
GO:0045332      phospholipid translocation                                                                                               ['Abca4']                               
R-MMU-168256    Immune System                                                                                                            ['Mndal']                               
GO:0007411      axon guidance                                                                                                            ['Pax6']                                
GO:0061629      RNA polymerase II-specific DNA-binding transcription factor binding                                                      ['Neurod1', 'Nhlh2']                    
GO:0055085      transmembrane transport                                                                                                  ['Abca4']                               
GO:0030332      cyclin binding                                                                                                           ['Insm1', 'Ccnd2']                      
GO:0060173      limb development                                                                                                         ['Chd7']                                
R-MMU-8878171   Transcriptional regulation by RUNX1                                                                                      ['Ccnd2']                               
GO:0007423      sensory organ development                                                                                                ['Neurod1']                             
GO:0022402      cell cycle process                                                                                                       ['Insm1']                               
GO:0042593      glucose homeostasis                                                                                                      ['Neurod1', 'Pax6']                     
GO:0015031      protein transport                                                                                                        ['Vps37b']                              
GO:2000045      regulation of G1/S transition of mitotic cell cycle                                                                      ['Ccnd2']                               
GO:0015629      actin cytoskeleton                                                                                                       ['Cnn3']                                
GO:0071837      HMG box domain binding                                                                                                   ['Pax6']                                
GO:0002062      chondrocyte differentiation                                                                                              ['Nfib']                                
R-MMU-9646399   Aggrephagy                                                                                                               ['Vim']                                 
GO:0051090      regulation of DNA-binding transcription factor activity                                                                  ['Nfix']                                
GO:0097402      neuroblast migration                                                                                                     ['Nfix']                                
GO:0001662      behavioral fear response                                                                                                 ['Mdk']                                 
GO:0030900      forebrain development                                                                                                    ['Pax6', 'Zic5', 'Zic1', 'Nfix', 'Nfib']
GO:0048665      neuron fate specification                                                                                                ['Nfix', 'Nfib', 'Nfia']                
GO:0062023      collagen-containing extracellular matrix                                                                                 ['Igfbpl1']                             
GO:0042995      cell projection                                                                                                          ['Abca4', 'Vim', 'Mdk', 'Lzts1']        
GO:0035270      endocrine system development                                                                                             ['Insm1']                               
GO:0050896      response to stimulus                                                                                                     ['Abca4']                               
GO:0071222      cellular response to lipopolysaccharide                                                                                  ['Vim']                                 
R-MMU-397014    Muscle contraction                                                                                                       ['Vim']                                 
GO:0046872      metal ion binding                                                                                                        ['Zic4', 'Insm1', 'Zic5', 'Zic1', 'Zbtb18']
GO:0031032      actomyosin structure organization                                                                                        ['Cnn3']                                
GO:0023019      signal transduction involved in regulation of gene expression                                                            ['Neurod1', 'Pax6']                     
GO:0050680      negative regulation of epithelial cell proliferation                                                                     ['Pax6']                                
GO:0043403      skeletal muscle tissue regeneration                                                                                      ['Nfix']                                
GO:0006649      phospholipid transfer to membrane                                                                                        ['Abca4']                               
GO:0000976      transcription cis-regulatory region binding                                                                              ['Pax6']                                
R-MMU-264870    Caspase-mediated cleavage of cytoskeletal proteins                                                                       ['Vim']                                 
GO:0035116      embryonic hindlimb morphogenesis                                                                                         ['Chd7']                                
R-MMU-9012999   RHO GTPase cycle                                                                                                         ['Vim']                                 
GO:0001843      neural tube closure                                                                                                      ['Zic5']                                
GO:0008083      growth factor activity                                                                                                   ['Mdk']                                 
GO:0021542      dentate gyrus development                                                                                                ['Btg2', 'Neurod1', 'Mdk']              
GO:0048839      inner ear development                                                                                                    ['Neurod1']                             
GO:0060074      synapse maturation                                                                                                       ['Nfia']                                
GO:0021543      pallium development                                                                                                      ['Pax6']                                
GO:0021905      forebrain-midbrain boundary formation                                                                                    ['Pax6']                                
GO:0045103      intermediate filament-based process                                                                                      ['Vim']                                 
GO:1903039      positive regulation of leukocyte cell-cell adhesion                                                                      ['Mdk']                                 
GO:0001974      blood vessel remodeling                                                                                                  ['Chd7']                                
GO:0007259      receptor signaling pathway via JAK-STAT                                                                                  ['Neurod1']                             
GO:0021796      cerebral cortex regionalization                                                                                          ['Pax6']                                
GO:0003326      pancreatic A cell fate commitment                                                                                        ['Neurod1']                             
GO:1904036      negative regulation of epithelial cell apoptotic process                                                                 ['Mdk']                                 
GO:0060045      positive regulation of cardiac muscle cell proliferation                                                                 ['Ccnd2']                               
GO:0050767      regulation of neurogenesis                                                                                               ['Pax6', 'Chd7']                        
GO:0006479      protein methylation                                                                                                      ['Btg2']                                
GO:0140416      transcription regulator inhibitor activity                                                                               ['Nfib']                                
R-MMU-8934593   Regulation of RUNX1 Expression and Activity                                                                              ['Ccnd2']                               
GO:1901142      insulin metabolic process                                                                                                ['Pax6']                                
GO:1904798      positive regulation of core promoter binding                                                                             ['Pax6']                                
GO:0010458      exit from mitosis                                                                                                        ['Nfix', 'Nfib', 'Nfia']                
GO:1902808      positive regulation of cell cycle G1/S phase transition                                                                  ['Ccnd2']                               
GO:1902894      negative regulation of miRNA transcription                                                                               ['Nfib']                                
GO:0021517      ventral spinal cord development                                                                                          ['Pax6']                                
GO:0016324      apical plasma membrane                                                                                                   ['Lzts1']                               
GO:0021681      cerebellar granular layer development                                                                                    ['Mdk']                                 
GO:0007039      protein catabolic process in the vacuole                                                                                 ['Vps37b']                              
GO:0005730      nucleolus                                                                                                                ['Mndal', 'Chd7', 'Ccnd2']              
GO:0098794      postsynapse                                                                                                              ['Cnn3']                                
GO:0005503      all-trans retinal binding                                                                                                ['Abca4']                               
GO:0043249      erythrocyte maturation                                                                                                   ['Fam210b']                             
GO:0000977      RNA polymerase II transcription regulatory region sequence-specific DNA binding                                          ['Zic4', 'Nhlh2', 'Zic5', 'Zic1', 'Nfix']
GO:0043066      negative regulation of apoptotic process                                                                                 ['Btg2', 'Ccnd2']                       
GO:0003723      RNA binding                                                                                                              ['Pax6', 'Vim']                         
GO:0044300      cerebellar mossy fiber                                                                                                   ['Nfib']                                
GO:0016581      NuRD complex                                                                                                             ['Cdk2ap1']                             
GO:0007420      brain development                                                                                                        ['Pax6', 'Zic1', 'Nfix', 'Nfib']        
GO:0070888      E-box binding                                                                                                            ['Neurod4', 'Neurod1']                  
R-MMU-9006934   Signaling by Receptor Tyrosine Kinases                                                                                   ['Mdk']                                 
GO:0060662      salivary gland cavitation                                                                                                ['Nfib']                                
GO:0007613      memory                                                                                                                   ['Nfix']                                
GO:0030308      negative regulation of cell growth                                                                                       ['Mndal']                               
GO:0001701      in utero embryonic development                                                                                           ['Chd7', 'Cdk2ap1', 'Zbtb18']           
GO:0021553      olfactory nerve development                                                                                              ['Chd7']                                
GO:0061104      adrenal chromaffin cell differentiation                                                                                  ['Insm1']                               
GO:0042462      eye photoreceptor cell development                                                                                       ['Pax6']                                
GO:0005515      protein binding                                                                                                          ['Btg2', 'Neurod1', 'Pax6', 'Vim', 'Nhlh2', 'Insm1', 'Zic1', 'Mdk', 'Nfix', 'Cnn3', 'Chd7', 'Ccnd2']
GO:0035264      multicellular organism growth                                                                                            ['Nfix']                                
GO:0006913      nucleocytoplasmic transport                                                                                              ['Neurod1']                             
GO:0048771      tissue remodeling                                                                                                        ['Chd7']                                
GO:0140326      ATPase-coupled intramembrane lipid transporter activity                                                                  ['Abca4']                               
GO:0051301      cell division                                                                                                            ['Ccnd2']                               
R-MMU-390522    Striated Muscle Contraction                                                                                              ['Vim']                                 
GO:0098839      postsynaptic density membrane                                                                                            ['Lzts1']                               
GO:0005829      cytosol                                                                                                                  ['Mndal', 'Pax6', 'Vim', 'Cnn3', 'Ccnd2', 'Cdk2ap1']
GO:0003700      DNA-binding transcription factor activity                                                                                ['Neurod1', 'Pax6', 'Insm1', 'Zic5', 'Zic1', 'Nfix', 'Nfib', 'Nfia']
GO:0048844      artery morphogenesis                                                                                                     ['Chd7']                                
GO:0000079      regulation of cyclin-dependent protein serine/threonine kinase activity                                                  ['Ccnd2']                               
GO:0045665      negative regulation of neuron differentiation                                                                            ['Pax6']                                
GO:1905222      atrioventricular canal morphogenesis                                                                                     ['Nfix']                                
GO:0003674      molecular_function                                                                                                       ['Fam210b']                             
GO:0010996      response to auditory stimulus                                                                                            ['Mdk']                                 
GO:0022804      active transmembrane transporter activity                                                                                ['Abca4']                               
GO:0009953      dorsal/ventral pattern formation                                                                                         ['Pax6']                                
GO:0021535      cell migration in hindbrain                                                                                              ['Nhlh2']                               
GO:0000981      DNA-binding transcription factor activity, RNA polymerase II-specific                                                    ['Neurod4', 'Neurod1', 'Pax6', 'Zic4', 'Nhlh2', 'Zic5', 'Zic1', 'Nfix', 'Nfib', 'Nfia', 'Zbtb18']
GO:0008017      microtubule binding                                                                                                      ['Cnn3']                                
GO:0001709      cell fate determination                                                                                                  ['Pax6']                                
GO:0060041      retina development in camera-type eye                                                                                    ['Pax6', 'Nfix', 'Chd7', 'Nfib', 'Nfia']
R-MMU-1632852   Macroautophagy                                                                                                           ['Vim']                                 
GO:0140327      flippase activity                                                                                                        ['Abca4']                               
R-MMU-2453902   The canonical retinoid cycle in rods (twilight vision)                                                                   ['Abca4']                               
GO:0045597      positive regulation of cell differentiation                                                                              ['Neurod4', 'Neurod1', 'Insm1']         
GO:0010718      positive regulation of epithelial to mesenchymal transition                                                              ['Mdk']                                 
GO:0000978      RNA polymerase II cis-regulatory region sequence-specific DNA binding                                                    ['Neurod1', 'Pax6', 'Zic4', 'Nhlh2', 'Insm1', 'Zic5', 'Zic1', 'Nfix', 'Chd7', 'Nfib', 'Nfia', 'Zbtb18']
GO:0002158      osteoclast proliferation                                                                                                 ['Nfix']                                
GO:0021782      glial cell development                                                                                                   ['Nfix']                                
GO:0010628      positive regulation of gene expression                                                                                   ['Pax6', 'Vim']                         
GO:0042660      positive regulation of cell fate specification                                                                           ['Pax6']                                
GO:0005520      insulin-like growth factor binding                                                                                       ['Igfbpl1']                             
GO:0033365      protein localization to organelle                                                                                        ['Pax6']                                
GO:0005856      cytoskeleton                                                                                                             ['Vim']                                 
GO:0042048      olfactory behavior                                                                                                       ['Chd7']                                
GO:0031965      nuclear membrane                                                                                                         ['Ccnd2']                               
GO:0060395      SMAD protein signal transduction                                                                                         ['Vim']                                 
GO:0003677      DNA binding                                                                                                              ['Neurod4', 'Neurod1', 'Pax6', 'Zic4', 'Nhlh2', 'Insm1', 'Zic5', 'Zic1', 'Nfix', 'Chd7', 'Nfib', 'Nfia', 'Zbtb18']
R-MMU-109581    Apoptosis                                                                                                                ['Vim']                                 
GO:0061036      positive regulation of cartilage development                                                                             ['Mdk']                                 
GO:0007612      learning                                                                                                                 ['Nfix']                                
R-MMU-201556    Signaling by ALK                                                                                                         ['Mdk']                                 
GO:0003680      minor groove of adenine-thymine-rich DNA binding                                                                         ['Pax6']                                
GO:0030335      positive regulation of cell migration                                                                                    ['Insm1', 'Mdk']                        
GO:0070307      lens fiber cell development                                                                                              ['Vim']                                 
GO:0016242      negative regulation of macroautophagy                                                                                    ['Lzts1']                               
GO:0048872      homeostasis of number of cells                                                                                           ['Zbtb18']                              
GO:0005654      nucleoplasm                                                                                                              ['Mndal', 'Pax6', 'Zic1', 'Chd7', 'Nfib', 'Nfia', 'Ccnd2', 'Cdk2ap1', 'Zbtb18']
GO:0071481      cellular response to X-ray                                                                                               ['Ccnd2']                               
GO:1904399      heparan sulfate binding                                                                                                  ['Mdk']                                 
GO:0021696      cerebellar cortex morphogenesis                                                                                          ['Nfix']                                
GO:0006260      DNA replication                                                                                                          ['Nfix', 'Nfib', 'Nfia']                
GO:0071773      cellular response to BMP stimulus                                                                                        ['Nfix']                                
GO:0045930      negative regulation of mitotic cell cycle                                                                                ['Btg2']                                
GO:0022008      neurogenesis                                                                                                             ['Nfix', 'Nfib', 'Nfia']                
GO:0005548      phospholipid transporter activity                                                                                        ['Abca4']                               
GO:0050795      regulation of behavior                                                                                                   ['Mdk']                                 
GO:0021954      central nervous system neuron development                                                                                ['Btg2']                                
GO:0005741      mitochondrial outer membrane                                                                                             ['Fam210b']                             
GO:0140658      ATP-dependent chromatin remodeler activity                                                                               ['Chd7']                                
GO:0071392      cellular response to estradiol stimulus                                                                                  ['Fam210b']                             
R-MMU-382551    Transport of small molecules                                                                                             ['Abca4']                               
GO:0071985      multivesicular body sorting pathway                                                                                      ['Vps37b']                              
GO:0035458      cellular response to interferon-beta                                                                                     ['Mndal']                               
GO:0008284      positive regulation of cell population proliferation                                                                     ['Insm1', 'Ccnd2']                      
GO:0045648      positive regulation of erythrocyte differentiation                                                                       ['Fam210b']                             
GO:0021888      hypothalamus gonadotrophin-releasing hormone neuron development                                                          ['Nhlh2']                               
GO:0045111      intermediate filament cytoskeleton                                                                                       ['Vim']                                 
R-MMU-111465    Apoptotic cleavage of cellular proteins                                                                                  ['Vim']                                 
R-MMU-9612973   Autophagy                                                                                                                ['Vim']                                 
GO:0001568      blood vessel development                                                                                                 ['Pax6', 'Chd7']                        
GO:0045664      regulation of neuron differentiation                                                                                     ['Neurod1', 'Pax6']                     
GO:0046850      regulation of bone remodeling                                                                                            ['Mdk']                                 
GO:0005622      intracellular anatomical structure                                                                                       ['Neurod1', 'Pax6']                     
GO:0016020      membrane                                                                                                                 ['Abca4', 'Btg2', 'Zic4', 'Vim', 'Insm1', 'Zic5', 'Zic1', 'Nfix', 'Fam210b', 'Smim27', 'Lzts1', 'Chd7', 'Nfib', 'Nfia', 'Ccnd2', 'Cdk2ap1', 'Zbtb18', 'Vps37b']
GO:1904996      positive regulation of leukocyte adhesion to vascular endothelial cell                                                   ['Mdk']                                 
GO:0010564      regulation of cell cycle process                                                                                         ['Insm1']                               
GO:0003358      noradrenergic neuron development                                                                                         ['Insm1']                               
GO:0002052      positive regulation of neuroblast proliferation                                                                          ['Pax6']                                
GO:0042802      identical protein binding                                                                                                ['Mndal', 'Vim']                        
GO:0060384      innervation                                                                                                              ['Chd7']                                
GO:0016787      hydrolase activity                                                                                                       ['Chd7']                                
GO:0000813      ESCRT I complex                                                                                                          ['Vps37b']                              
GO:0150052      regulation of postsynapse assembly                                                                                       ['Lzts1']                               
GO:0071225      cellular response to muramyl dipeptide                                                                                   ['Vim']                                 
GO:0003725      double-stranded RNA binding                                                                                              ['Vim']                                 
GO:0106016      positive regulation of inflammatory response to wounding                                                                 ['Mdk']                                 
GO:0035176      social behavior                                                                                                          ['Nfix']                                
GO:0031410      cytoplasmic vesicle                                                                                                      ['Abca4']                               
GO:0048814      regulation of dendrite morphogenesis                                                                                     ['Lzts1']                               
R-MMU-162582    Signal Transduction                                                                                                      ['Vim', 'Mdk']                          
GO:0007422      peripheral nervous system development                                                                                    ['Nhlh2']                               
GO:0019076      viral release from host cell                                                                                             ['Vps37b']                              
GO:0042826      histone deacetylase binding                                                                                              ['Insm1']                               
R-MMU-74160     Gene expression (Transcription)                                                                                          ['Btg2', 'Ccnd2']                       
GO:0030424      axon                                                                                                                     ['Vim']                                 
GO:0005634      nucleus                                                                                                                  ['Mndal', 'Neurod4', 'Btg2', 'Neurod1', 'Pax6', 'Zic4', 'Vim', 'Nhlh2', 'Insm1', 'Zic5', 'Zic1', 'Nfix', 'Chd7', 'Nfib', 'Nfia', 'Ccnd2', 'Cdk2ap1', 'Zbtb18']
GO:0042063      gliogenesis                                                                                                              ['Nfix']                                
GO:0035883      enteroendocrine cell differentiation                                                                                     ['Neurod1']                             
GO:0050890      cognition                                                                                                                ['Chd7']                                
GO:2000675      negative regulation of type B pancreatic cell apoptotic process                                                          ['Neurod1']                             
GO:0045582      positive regulation of T cell differentiation                                                                            ['Mdk']                                 
R-MMU-212436    Generic Transcription Pathway                                                                                            ['Btg2', 'Ccnd2']                       
GO:0006366      transcription by RNA polymerase II                                                                                       ['Neurod1', 'Pax6', 'Zic4', 'Nhlh2', 'Insm1', 'Zic5', 'Zic1', 'Nfix', 'Chd7', 'Nfib', 'Nfia', 'Zbtb18']
GO:0043025      neuronal cell body                                                                                                       ['Cnn3']                                
GO:0030282      bone mineralization                                                                                                      ['Nfix']                                
GO:0001558      regulation of cell growth                                                                                                ['Igfbpl1']                             
GO:0038023      signaling receptor activity                                                                                              ['Mdk']                                 
GO:0017053      transcription repressor complex                                                                                          ['Insm1']                               
GO:0042574      retinal metabolic process                                                                                                ['Abca4']                               
GO:0007435      salivary gland morphogenesis                                                                                             ['Pax6']                                
GO:1990904      ribonucleoprotein complex                                                                                                ['Vim']                                 
R-MMU-75153     Apoptotic execution phase                                                                                                ['Vim']                                 
GO:0061351      neural precursor cell proliferation                                                                                      ['Btg2', 'Pax6', 'Nfix', 'Nfib', 'Nfia']
GO:0008201      heparin binding                                                                                                          ['Mdk']                                 
GO:0010667      negative regulation of cardiac muscle cell apoptotic process                                                             ['Mdk']                                 
GO:0072089      stem cell proliferation                                                                                                  ['Nfib']                                
GO:0003322      pancreatic A cell development                                                                                            ['Pax6']                                
GO:0043583      ear development                                                                                                          ['Nfix']                                


Protein Ontology Terms: 

PC00112        growth factor                                                                                                            ['Mdk']                                 
PC00055        basic helix-loop-helix transcription factor                                                                              ['Neurod4', 'Neurod1', 'Nhlh2']         
PC00218        DNA-binding transcription factor                                                                                         ['Mndal', 'Nfix', 'Nfib', 'Nfia']       
PC00151        membrane trafficking regulatory protein                                                                                  ['Vps37b']                              
PC00119        homeodomain transcription factor                                                                                         ['Pax6']                                
PC00129        intermediate filament                                                                                                    ['Vim']                                 
PC00138        kinase activator                                                                                                         ['Ccnd2']                               
PC00003        ATP-binding cassette (ABC) transporter                                                                                   ['Abca4']                               
PC00139        kinase inhibitor                                                                                                         ['Cdk2ap1']                             
PC00248        C2H2 zinc finger transcription factor                                                                                    ['Zic4', 'Zic5', 'Zic1', 'Zbtb18']      
PC00077        chromatin/chromatin-binding, or -regulatory protein                                                                      ['Chd7']                                


Pathway Ontology Terms: 

P00048          PI3 kinase pathway                                                                                                       ['Ccnd2']                               
P00013          Cell cycle                                                                                                               ['Ccnd2']                               


