Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Sox6', 'Pou3f1', 'Bcl11b', 'Pou3f4']  
PC00244        zinc finger transcription factor                                                                                         ['Bnc2', 'Tshz3']                       
PC00055        basic helix-loop-helix transcription factor                                                                              ['Neurod2', 'Neurod6']                  
PC00218        DNA-binding transcription factor                                                                                         ['Ebf2', 'Pou3f1', 'Pou3f4']            
PC00095        protein-binding activity modulator                                                                                       ['Hhip']                                
PC00069        cell adhesion molecule                                                                                                   ['Hmcn1']                               
PC00226        scaffold/adaptor protein                                                                                                 ['Dscaml1']                             
PC00119        homeodomain transcription factor                                                                                         ['Barhl1']                              
PC00102        extracellular matrix protein                                                                                             ['Megf11']                              
PC00186        phospholipase                                                                                                            ['Mgll']                                
PC00021        G-protein coupled receptor                                                                                               ['Adra2a']                              
PC00248        C2H2 zinc finger transcription factor                                                                                    ['Bcl11b']                              
PC00197        transmembrane signal receptor                                                                                            ['Gfra1']                               


Pathway Ontology Terms: 

P00026          Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway                                        ['Adra2a']                              
P02738          De novo purine biosynthesis                                                                                              ['Dscaml1']                             
P00034          Integrin signalling pathway                                                                                              ['Megf11']                              
P02740          De novo pyrimidine ribonucleotides biosythesis                                                                           ['Dscaml1']                             
P02739          De novo pyrimidine deoxyribonucleotide biosynthesis                                                                      ['Dscaml1']                             
P00002          Alpha adrenergic receptor signaling pathway                                                                              ['Adra2a']                              


