Molecular/Biological/Cellular Ontology Terms: 

GO:0006400      tRNA modification                                                                                                        ['Thumpd1']                             
GO:0097553      calcium ion transmembrane import into cytosol                                                                            ['Fam155a']                             
GO:1904707      positive regulation of vascular associated smooth muscle cell proliferation                                              ['Igf1', 'Fgf9', 'Gnai2', 'Tkt']        
GO:0042826      histone deacetylase binding                                                                                              ['Tal1', 'Hdac9', 'Mef2c']              
GO:0043488      regulation of mRNA stability                                                                                             ['Fmr1']                                
GO:0044338      canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation                                        ['Wnt3']                                
GO:0060563      neuroepithelial cell differentiation                                                                                     ['Otx2', 'Sox11']                       
GO:0043116      negative regulation of vascular permeability                                                                             ['Ddah1']                               
GO:0001725      stress fiber                                                                                                             ['Ablim1', 'Limch1']                    
GO:0033204      ribonuclease P RNA binding                                                                                               ['Rpp25']                               
GO:1905349      ciliary transition zone assembly                                                                                         ['Ablim1']                              
GO:0043407      negative regulation of MAP kinase activity                                                                               ['Pik3cb', 'Hmgcr']                     
GO:2000301      negative regulation of synaptic vesicle exocytosis                                                                       ['Fmr1']                                
GO:0048565      digestive tract development                                                                                              ['Fat4']                                
GO:0032433      filopodium tip                                                                                                           ['Fmr1']                                
GO:1900142      negative regulation of oligodendrocyte apoptotic process                                                                 ['Igf1']                                
GO:0005777      peroxisome                                                                                                               ['Idh1', 'Tkt', 'Hmgcr']                
GO:0042476      odontogenesis                                                                                                            ['Apc']                                 
R-MMU-399956    CRMPs in Sema3A signaling                                                                                                ['Dpysl3']                              
GO:0031017      exocrine pancreas development                                                                                            ['Igf1']                                
GO:2000623      negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay                               ['Hnrnpab']                             
GO:0035970      peptidyl-threonine dephosphorylation                                                                                     ['Ppm1e']                               
GO:0099560      synaptic membrane adhesion                                                                                               ['Cadm1']                               
GO:0016323      basolateral plasma membrane                                                                                              ['Adcy8', 'Lin7c', 'Cadm1']             
R-MMU-418889    Caspase activation via Dependence Receptors in the absence of ligand                                                     ['Casp3']                               
GO:0006743      ubiquinone metabolic process                                                                                             ['Hmgcr']                               
GO:0032516      positive regulation of phosphoprotein phosphatase activity                                                               ['Magi2']                               
GO:0009826      unidimensional cell growth                                                                                               ['Cadm1']                               
GO:0038084      vascular endothelial growth factor signaling pathway                                                                     ['Nrp2']                                
GO:0045995      regulation of embryonic development                                                                                      ['Yy1']                                 
GO:0015014      heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process                             ['Hs2st1']                              
GO:0099583      neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration            ['Gria1']                               
GO:0051260      protein homooligomerization                                                                                              ['Adcy8', 'Micu1', 'Ripor2']            
GO:0140693      molecular condensate scaffold activity                                                                                   ['Fmr1']                                
GO:0006836      neurotransmitter transport                                                                                               ['Cplx3', 'Rims4', 'Cplx2']             
GO:0043168      anion binding                                                                                                            ['Tkt']                                 
GO:0051607      defense response to virus                                                                                                ['Cnot7']                               
GO:0044308      axonal spine                                                                                                             ['Gria1']                               
GO:2000352      negative regulation of endothelial cell apoptotic process                                                                ['Scg2']                                
GO:0070887      cellular response to chemical stimulus                                                                                   ['Cpne8']                               
GO:0047484      regulation of response to osmotic stress                                                                                 ['Prkca']                               
GO:0016236      macroautophagy                                                                                                           ['Sesn3']                               
GO:0007283      spermatogenesis                                                                                                          ['Ybx3', 'Yy1', 'Ppp1cc', 'Agfg1', 'Cadm1']
GO:0065009      regulation of molecular function                                                                                         ['Dlgap1']                              
GO:0046928      regulation of neurotransmitter secretion                                                                                 ['Cplx3', 'Fmr1', 'Mef2c', 'Cplx2']     
GO:0060536      cartilage morphogenesis                                                                                                  ['Mef2c']                               
GO:0001959      regulation of cytokine-mediated signaling pathway                                                                        ['Cd24a']                               
GO:0016528      sarcoplasm                                                                                                               ['Spock1']                              
GO:0030165      PDZ domain binding                                                                                                       ['Lin7c', 'Nos1ap', 'Adgrb1', 'Gria1', 'Dock4', 'Cadm1']
GO:0034119      negative regulation of erythrocyte aggregation                                                                           ['Cd24a']                               
GO:0003231      cardiac ventricle development                                                                                            ['Fgf9']                                
GO:0010468      regulation of gene expression                                                                                            ['Emx2', 'Pcbp3', 'Lhx1', 'Igf1', 'Ybx3', 'Reln', 'Hnrnpab']
GO:0071305      cellular response to vitamin D                                                                                           ['Pdia3']                               
GO:0001701      in utero embryonic development                                                                                           ['Zfpm2', 'Sox5', 'Ybx3', 'Col4a3bp', 'Zmiz1']
GO:0080111      DNA demethylation                                                                                                        ['Fto']                                 
GO:0005159      insulin-like growth factor receptor binding                                                                              ['Igf1']                                
GO:0004169      dolichyl-phosphate-mannose-protein mannosyltransferase activity                                                          ['Tmtc4']                               
R-MMU-5654228   Phospholipase C-mediated cascade; FGFR4                                                                                  ['Fgf9']                                
GO:0072197      ureter morphogenesis                                                                                                     ['Emx2', 'Lhx1']                        
R-MMU-3769402   Deactivation of the beta-catenin transactivating complex                                                                 ['Tle4', 'Apc']                         
GO:0031210      phosphatidylcholine binding                                                                                              ['Scarb2']                              
GO:0071310      cellular response to organic substance                                                                                   ['Casp3', 'Pou3f2']                     
R-MMU-5683057   MAPK family signaling cascades                                                                                           ['Pik3cb', 'Fgf9', 'Ppp1cc']            
GO:0042297      vocal learning                                                                                                           ['Foxp2', 'Nrxn2']                      
GO:0097118      neuroligin clustering involved in postsynaptic membrane assembly                                                         ['Magi2', 'Nrxn2']                      
GO:0048018      receptor ligand activity                                                                                                 ['Igf1', 'Wnt3', 'Tac1']                
R-MMU-5684996   MAPK1/MAPK3 signaling                                                                                                    ['Pik3cb', 'Fgf9', 'Ppp1cc']            
GO:0006955      immune response                                                                                                          ['Cxcl14']                              
GO:0015035      protein-disulfide reductase activity                                                                                     ['Pdia3']                               
GO:0030216      keratinocyte differentiation                                                                                             ['Casp3']                               
GO:0015031      protein transport                                                                                                        ['Lin7c', 'Snx4', 'Snx2', 'Zfand6', 'Rhob', 'Exoc5', 'Ktn1']
GO:0008299      isoprenoid biosynthetic process                                                                                          ['Hmgcs1', 'Hmgcr']                     
GO:0016525      negative regulation of angiogenesis                                                                                      ['Adgrb1']                              
GO:0006097      glyoxylate cycle                                                                                                         ['Idh1']                                
GO:0031115      negative regulation of microtubule polymerization                                                                        ['Tubb4a']                              
GO:0061551      trigeminal ganglion development                                                                                          ['Nrp2']                                
GO:0038166      angiotensin-activated signaling pathway                                                                                  ['Ahcyl1']                              
GO:0051246      regulation of protein metabolic process                                                                                  ['Igf1']                                
R-MMU-72202     Transport of Mature Transcript to Cytoplasm                                                                              ['Srsf4', 'Srsf3']                      
GO:0048738      cardiac muscle tissue development                                                                                        ['Zfpm2']                               
GO:0001228      DNA-binding transcription activator activity, RNA polymerase II-specific                                                 ['Otx2', 'Meis2', 'Pou3f2', 'Yy1', 'Tcf12', 'Mef2c', 'Sox11', 'Stox2']
R-MMU-195253    Degradation of beta-catenin by the destruction complex                                                                   ['Tle4', 'Apc']                         
R-MMU-8852135   Protein ubiquitination                                                                                                   ['Ube2e3', 'Rnf152', 'Uchl3']           
GO:0070507      regulation of microtubule cytoskeleton organization                                                                      ['Hsph1', 'Dixdc1']                     
GO:0120017      ceramide transfer activity                                                                                               ['Col4a3bp']                            
GO:0099629      postsynaptic specialization of symmetric synapse                                                                         ['Iqsec3']                              
GO:0044772      mitotic cell cycle phase transition                                                                                      ['Ccni']                                
R-MMU-5576886   Phase 4 - resting membrane potential                                                                                     ['Kcnk12']                              
GO:0038063      collagen-activated tyrosine kinase receptor signaling pathway                                                            ['Tkt']                                 
GO:0042288      MHC class I protein binding                                                                                              ['Pdia3']                               
GO:0060164      regulation of timing of neuron differentiation                                                                           ['Sox5']                                
GO:0098970      postsynaptic neurotransmitter receptor diffusion trapping                                                                ['Cacng2']                              
GO:0061630      ubiquitin protein ligase activity                                                                                        ['Btrc', 'Rnf152', 'Trim2']             
GO:1990931      mRNA N6-methyladenosine dioxygenase activity                                                                             ['Fto']                                 
R-MMU-372790    Signaling by GPCR                                                                                                        ['Rgs12', 'Mc4r', 'Adcy8', 'Grm3', 'Prkca', 'Tac1', 'Gnai2', 'Rhob']
GO:1901981      phosphatidylinositol phosphate binding                                                                                   ['Col4a3bp']                            
GO:0035735      intraciliary transport involved in cilium assembly                                                                       ['Ablim1']                              
GO:2000242      negative regulation of reproductive process                                                                              ['Ybx3']                                
GO:0051018      protein kinase A binding                                                                                                 ['Gria1']                               
GO:0043547      positive regulation of GTPase activity                                                                                   ['Rapgef5', 'Cdkl5', 'Srgap2']          
GO:0070301      cellular response to hydrogen peroxide                                                                                   ['Rhob']                                
GO:0019153      protein-disulfide reductase (glutathione) activity                                                                       ['Pdia3']                               
GO:2000253      positive regulation of feeding behavior                                                                                  ['Sgip1']                               
GO:0031047      RNA-mediated gene silencing                                                                                              ['Fmr1', 'Cnot7']                       
R-MMU-1236974   ER-Phagosome pathway                                                                                                     ['Calr', 'Pdia3']                       
GO:0009249      protein lipoylation                                                                                                      ['Gcsh']                                
GO:0030307      positive regulation of cell growth                                                                                       ['Igf1']                                
GO:0046390      ribose phosphate biosynthetic process                                                                                    ['Tkt']                                 
GO:0030220      platelet formation                                                                                                       ['Tal1', 'Mef2c']                       
GO:0035005      1-phosphatidylinositol-4-phosphate 3-kinase activity                                                                     ['Pik3cb']                              
GO:0097193      intrinsic apoptotic signaling pathway                                                                                    ['Casp3', 'Prkca']                      
R-MMU-194138    Signaling by VEGF                                                                                                        ['Pik3cb', 'Prkca', 'Elmo1', 'Nrp2']    
R-MMU-9013406   RHOQ GTPase cycle                                                                                                        ['Cpne8', 'Srgap2']                     
GO:0042803      protein homodimerization activity                                                                                        ['Foxp2', 'Idh1', 'Adcy8', 'Tox3', 'Hmgcs1', 'Fmr1', 'Snx2', 'Bcl11a', 'Scarb2', 'Srgap2', 'Tkt', 'Cadm1']
GO:0050731      positive regulation of peptidyl-tyrosine phosphorylation                                                                 ['Igf1', 'Cd24a', 'Reln']               
GO:0016538      cyclin-dependent protein serine/threonine kinase regulator activity                                                      ['Ccni']                                
GO:0043537      negative regulation of blood vessel endothelial cell migration                                                           ['Mef2c']                               
GO:0140639      positive regulation of pyroptosis                                                                                        ['Casp3']                               
GO:1904507      positive regulation of telomere maintenance in response to DNA damage                                                    ['Yy1']                                 
GO:0008543      fibroblast growth factor receptor signaling pathway                                                                      ['Fgf9', 'Fat4', 'Flrt1']               
GO:0005272      sodium channel activity                                                                                                  ['Asic4']                               
GO:0005178      integrin binding                                                                                                         ['Igf1', 'Prkca', 'Frmd5', 'Tln2', 'Calr']
GO:0005874      microtubule                                                                                                              ['Dcx', 'Tubb4a', 'Hsph1', 'Apc']       
GO:0044065      regulation of respiratory system process                                                                                 ['Fto']                                 
GO:0003730      mRNA 3'-UTR binding                                                                                                      ['Ybx3', 'Fmr1']                        
GO:0048754      branching morphogenesis of an epithelial tube                                                                            ['Igf1']                                
GO:1904036      negative regulation of epithelial cell apoptotic process                                                                 ['Apc']                                 
GO:1904058      positive regulation of sensory perception of pain                                                                        ['Tac1']                                
GO:0030168      platelet activation                                                                                                      ['Pik3cb']                              
GO:0046513      ceramide biosynthetic process                                                                                            ['St6galnac5']                          
GO:0001919      regulation of receptor recycling                                                                                         ['Gria1']                               
GO:0071222      cellular response to lipopolysaccharide                                                                                  ['Ppm1e', 'Mef2c']                      
R-MMU-190239    FGFR3 ligand binding and activation                                                                                      ['Fgf9']                                
GO:0072657      protein localization to membrane                                                                                         ['Lin7c']                               
GO:0019005      SCF ubiquitin ligase complex                                                                                             ['Btrc']                                
GO:0098974      postsynaptic actin cytoskeleton organization                                                                             ['Nos1ap', 'Adgrb1']                    
GO:0042136      neurotransmitter biosynthetic process                                                                                    ['Gad1']                                
GO:0061512      protein localization to cilium                                                                                           ['Ablim1']                              
GO:0031932      TORC2 complex                                                                                                            ['Sesn3']                               
GO:0090303      positive regulation of wound healing                                                                                     ['Tkt']                                 
R-MMU-5696399   Global Genome Nucleotide Excision Repair (GG-NER)                                                                        ['Yy1']                                 
GO:0030681      multimeric ribonuclease P complex                                                                                        ['Rpp25']                               
GO:0010878      cholesterol storage                                                                                                      ['Acat2']                               
GO:0007416      synapse assembly                                                                                                         ['Gria1', 'Nrxn2', 'Cadm1']             
GO:0051155      positive regulation of striated muscle cell differentiation                                                              ['Hopx']                                
GO:0031835      substance P receptor binding                                                                                             ['Tac1']                                
R-MMU-264876    Insulin processing                                                                                                       ['Exoc5']                               
GO:0048787      presynaptic active zone membrane                                                                                         ['Cplx3', 'Gria1']                      
R-MMU-71336     Pentose phosphate pathway                                                                                                ['Tkt']                                 
R-MMU-8849468   PTK6 Regulates Proteins Involved in RNA Processing                                                                       ['Khdrbs2']                             
GO:0051604      protein maturation                                                                                                       ['Gcsh', 'Casp3', 'Tspan5']             
GO:0005868      cytoplasmic dynein complex                                                                                               ['Snx4']                                
GO:0001659      temperature homeostasis                                                                                                  ['Fto']                                 
GO:0004714      transmembrane receptor protein tyrosine kinase activity                                                                  ['Tkt']                                 
GO:0061549      sympathetic ganglion development                                                                                         ['Nrp2']                                
GO:0060736      prostate gland growth                                                                                                    ['Igf1']                                
GO:0060307      regulation of ventricular cardiac muscle cell membrane repolarization                                                    ['Nos1ap']                              
GO:0072077      renal vesicle morphogenesis                                                                                              ['Lhx1']                                
GO:0019992      diacylglycerol binding                                                                                                   ['Unc13c']                              
GO:0097503      sialylation                                                                                                              ['St6gal2']                             
GO:0006816      calcium ion transport                                                                                                    ['Micu1', 'Cacng2']                     
GO:0035115      embryonic forelimb morphogenesis                                                                                         ['Wnt3']                                
R-MMU-157858    Gap junction trafficking and regulation                                                                                  ['Tubb4a']                              
GO:0048025      negative regulation of mRNA splicing, via spliceosome                                                                    ['Srsf4']                               
R-MMU-380287    Centrosome maturation                                                                                                    ['Tubb4a']                              
R-MMU-5654736   Signaling by FGFR1                                                                                                       ['Fgf9', 'Flrt1']                       
GO:0099577      regulation of translation at presynapse, modulating synaptic transmission                                                ['Fmr1']                                
GO:1904862      inhibitory synapse assembly                                                                                              ['Cbln4', 'Srgap2']                     
GO:0009064      glutamine family amino acid metabolic process                                                                            ['Ddah1']                               
R-MMU-2428933   SHC-related events triggered by IGF1R                                                                                    ['Igf1']                                
GO:0006672      ceramide metabolic process                                                                                               ['Col4a3bp']                            
GO:0005743      mitochondrial inner membrane                                                                                             ['Micu1', 'Cox20', 'Ociad2', 'Srgap2']  
GO:0008033      tRNA processing                                                                                                          ['Rpp25']                               
R-MMU-2029480   Fcgamma receptor (FCGR) dependent phagocytosis                                                                           ['Pik3cb', 'Elmo1']                     
R-MMU-8951664   Neddylation                                                                                                              ['Klhl13', 'Uchl3', 'Commd4']           
GO:0070326      very-low-density lipoprotein particle receptor binding                                                                   ['Reln']                                
R-MMU-8953750   Transcriptional Regulation by E2F6                                                                                       ['Rybp']                                
GO:0009790      embryo development                                                                                                       ['Foxp2', 'Meis2', 'Hmgcr']             
GO:0002175      protein localization to paranode region of axon                                                                          ['Epb41l3']                             
GO:0006739      NADP metabolic process                                                                                                   ['Idh1', 'Tkt']                         
GO:0006979      response to oxidative stress                                                                                             ['Idh1', 'Rcan2']                       
GO:0005741      mitochondrial outer membrane                                                                                             ['Ppp1cc']                              
GO:0035332      positive regulation of hippo signaling                                                                                   ['Sox11']                               
GO:0005943      phosphatidylinositol 3-kinase complex, class IA                                                                          ['Pik3cb']                              
GO:0010608      post-transcriptional regulation of gene expression                                                                       ['Cdc37']                               
GO:0001947      heart looping                                                                                                            ['Mef2c']                               
R-MMU-5682910   LGI-ADAM interactions                                                                                                    ['Cacng2']                              
GO:0007157      heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules                                              ['Igsf21', 'Cd24a', 'Fat4', 'Cadm1']    
GO:0043231      intracellular membrane-bounded organelle                                                                                 ['Pik3cb', 'Cd24a', 'Itpa', 'Fto', 'Tcf12', 'Commd4', 'Mef2c', 'Agfg1', 'Ahcyl1']
GO:0042177      negative regulation of protein catabolic process                                                                         ['Adgrb1', 'Hmgcr']                     
GO:1990246      uniplex complex                                                                                                          ['Micu1']                               
GO:1902711      GABA-A receptor complex                                                                                                  ['Gabrr1']                              
GO:0009880      embryonic pattern specification                                                                                          ['Lhx1', 'Meis2']                       
GO:0031681      G-protein beta-subunit binding                                                                                           ['Gria1']                               
R-MMU-5668599   RHO GTPases Activate NADPH Oxidases                                                                                      ['Prkca']                               
GO:0043410      positive regulation of MAPK cascade                                                                                      ['Dok5', 'Igf1', 'Fgf9']                
GO:0032024      positive regulation of insulin secretion                                                                                 ['Adcy8']                               
GO:0043066      negative regulation of apoptotic process                                                                                 ['Igf1', 'Casp3', 'Ybx3', 'Glo1', 'Faim', 'Zfand6', 'Tkt', 'Hmgcr', 'Apc']
GO:0032129      histone H3K9 deacetylase activity                                                                                        ['Hdac9']                               
GO:0030099      myeloid cell differentiation                                                                                             ['Tal1']                                
GO:0019933      cAMP-mediated signaling                                                                                                  ['Adcy8', 'Adgrb1', 'Gnai2']            
GO:1905538      polysome binding                                                                                                         ['Ybx3']                                
GO:0001829      trophectodermal cell differentiation                                                                                     ['Hopx']                                
R-MMU-1474244   Extracellular matrix organization                                                                                        ['Prkca', 'Tkt']                        
GO:0045597      positive regulation of cell differentiation                                                                              ['Sox5', 'Apc']                         
GO:1990863      acinar cell proliferation                                                                                                ['Apc']                                 
GO:1900454      positive regulation of long-term synaptic depression                                                                     ['Adcy8', 'Fmr1']                       
GO:0004857      enzyme inhibitor activity                                                                                                ['Casp3']                               
GO:0030030      cell projection organization                                                                                             ['Tubb4a']                              
GO:0007217      tachykinin receptor signaling pathway                                                                                    ['Tac1']                                
GO:0048672      positive regulation of collateral sprouting                                                                              ['Dcx', 'Bcl11a']                       
GO:0007492      endoderm development                                                                                                     ['Lhx1', 'Otx2']                        
GO:0007417      central nervous system development                                                                                       ['Emx2', 'Otx2', 'Reln', 'Zeb1', 'Fmr1']
GO:1990752      microtubule end                                                                                                          ['Nav3']                                
R-MMU-450520    HuR (ELAVL1) binds and stabilizes mRNA                                                                                   ['Prkca']                               
GO:0009749      response to glucose                                                                                                      ['Casp3']                               
GO:1990830      cellular response to leukemia inhibitory factor                                                                          ['Otx2', 'Tle4', 'Srsf3', 'Trim2', 'Nrp2']
GO:0032924      activin receptor signaling pathway                                                                                       ['Fgf9']                                
GO:0060252      positive regulation of glial cell proliferation                                                                          ['Igf1', 'Ppp1cc']                      
R-MMU-6783984   Glycine degradation                                                                                                      ['Gcsh']                                
GO:0032927      positive regulation of activin receptor signaling pathway                                                                ['Fgf9']                                
R-MMU-5689603   UCH proteinases                                                                                                          ['Yy1', 'Uchl3']                        
GO:0042271      susceptibility to natural killer cell mediated cytotoxicity                                                              ['Cadm1']                               
GO:0005923      bicellular tight junction                                                                                                ['Pard3b', 'Lin7c', 'Magi2', 'Apc']     
GO:0098942      retrograde trans-synaptic signaling by trans-synaptic protein complex                                                    ['Cadm1']                               
R-MMU-389542    NADPH regeneration                                                                                                       ['Idh1']                                
R-MMU-9006931   Signaling by Nuclear Receptors                                                                                           ['Yy1', 'Gnai2']                        
GO:0009052      pentose-phosphate shunt, non-oxidative branch                                                                            ['Tkt']                                 
GO:0045944      positive regulation of transcription by RNA polymerase II                                                                ['Lmo1', 'Tal1', 'Sox14', 'Igf1', 'Zfpm2', 'Otx2', 'Tox3', 'Meis2', 'Zeb1', 'Ablim1', 'Cnbp', 'Pou3f2', 'Yy1', 'Tcerg1', 'Tcf12', 'Mef2c', 'Zmiz1', 'Auts2', 'Sox11', 'Cnot7', 'Stox2']
GO:0051899      membrane depolarization                                                                                                  ['Cacng2']                              
GO:2001022      positive regulation of response to DNA damage stimulus                                                                   ['Fmr1']                                
GO:1901385      regulation of voltage-gated calcium channel activity                                                                     ['Cabp1']                               
GO:0071902      positive regulation of protein serine/threonine kinase activity                                                          ['Igf1']                                
GO:0004802      transketolase activity                                                                                                   ['Tkt']                                 
GO:0008009      chemokine activity                                                                                                       ['Cxcl14']                              
GO:0002039      p53 binding                                                                                                              ['Zfp385b']                             
GO:0045599      negative regulation of fat cell differentiation                                                                          ['Zfpm2']                               
GO:0021940      positive regulation of cerebellar granule cell precursor proliferation                                                   ['Igf1']                                
GO:0106015      negative regulation of inflammatory response to wounding                                                                 ['Cd24a']                               
GO:0001782      B cell homeostasis                                                                                                       ['Casp3', 'Mef2c']                      
GO:0030134      COPII-coated ER to Golgi transport vesicle                                                                               ['Cnih1']                               
GO:0001953      negative regulation of cell-matrix adhesion                                                                              ['Nexmif']                              
GO:0004930      G protein-coupled receptor activity                                                                                      ['Mc4r', 'Grm3', 'Adgrb1']              
GO:0046854      phosphatidylinositol phosphate biosynthetic process                                                                      ['Pik3cb']                              
R-MMU-416572    Sema4D induced cell migration and growth-cone collapse                                                                   ['Rhob']                                
GO:0030857      negative regulation of epithelial cell differentiation                                                                   ['Zeb1']                                
GO:0008236      serine-type peptidase activity                                                                                           ['Reln']                                
GO:0140059      dendrite arborization                                                                                                    ['Phactr1']                             
R-MMU-397014    Muscle contraction                                                                                                       ['Kcnk12', 'Ahcyl1']                    
GO:0098797      plasma membrane protein complex                                                                                          ['Shisa8', 'Kcnmb2', 'Lin7c', 'Gnai2', 'Gria1', 'Cacng2', 'Apc']
GO:0071889      14-3-3 protein binding                                                                                                   ['Ripor2']                              
GO:0016301      kinase activity                                                                                                          ['Pik3cb', 'Prkca', 'Cdkl5', 'Col4a3bp', 'Sbk1', 'Tkt']
